  SETS   GETS  MGETS   INVLD    TOT   HITS     RSP T      Q T     SVR T  Q LEN
 29203      0      0       0  29203  29203    591.30    57.43    512.35      0
  3510      0      0       0   3510   3510    603.15    23.52    561.61      0
  3608      0      0       0   3608   3608    563.26    36.09    512.32      0
  3686      0      0       0   3686   3686    570.23    13.89    529.53      0
  3338      0      0       0   3338   3338    640.43    56.20    558.06      0
  3472      0      0       0   3472   3472    612.84    48.48    541.35      0
  3450      0      0       0   3450   3450    630.70    34.92    575.70      0
  3572      0      0       0   3572   3572    581.39    19.29    542.34      0
  3550      0      0       0   3550   3550    588.43    18.30    555.93      1
  3429      0      0       0   3429   3429    627.85    20.02    590.18      0
  3414      0      0       0   3414   3414    631.28    37.12    575.60      0
  3407      0      0       0   3407   3407    640.27    51.42    570.07      0
  3492      0      0       0   3492   3492    600.89    10.80    576.96      0
  3352      0      0       0   3352   3352    625.01    24.88    573.95      0
  3495      0      0       0   3495   3495    596.46    49.42    531.44      0
  3512      0      0       0   3512   3512    592.17    27.75    541.56      0
  3505      0      0       0   3505   3505    576.08    13.89    547.61      0
  3484      0      0       0   3484   3484    583.52    18.40    545.23      0
  3594      0      0       0   3594   3594    575.19    20.69    538.95      0
  3685      0      0       0   3685   3685    566.56    20.84    531.19      1
  3451      0      0       0   3451   3451    620.46    38.63    553.51      0
  3598      0      0       0   3598   3598    580.18    12.93    553.96      0
  3586      0      0       0   3586   3586    569.04    16.04    540.41      0
  3532      0      0       0   3532   3532    578.84    19.95    545.14      0
  3518      0      0       0   3518   3518    593.51    64.76    514.73      0
  3561      0      0       0   3561   3561    568.58    25.23    529.93      2
  3671      0      0       0   3671   3671    564.06    50.72    500.29      0
  3430      0      0       0   3430   3430    596.90    15.86    568.23      3
  3288      0      0       0   3288   3288    630.47    55.67    559.32      0
  3432      0      0       0   3432   3432    606.43    17.67    572.96      2
  3547      0      0       0   3547   3547    581.09    16.90    551.25      0
  3492      0      0       0   3492   3492    593.45    35.35    539.41      0
  3794      0      0       0   3794   3794    538.08    17.90    507.59      0
  3555      0      0       0   3555   3555    582.73    15.24    554.20      0
  3539      0      0       0   3539   3539    580.98    19.44    542.73      0
  3512      0      0       0   3512   3512    586.87    16.06    557.61      0
  3652      0      0       0   3652   3652    541.29    14.97    511.66      0
  3832      0      0       0   3832   3832    498.76    10.73    472.88      0
  3829      0      0       0   3829   3829    499.87    13.78    473.79      0
  3848      0      0       0   3848   3848    507.70    17.57    473.08      0
  3796      0      0       0   3796   3796    528.41    46.92    468.40      0
  3652      0      0       0   3652   3652    570.91    11.98    546.40      0
  3638      0      0       0   3638   3638    571.37    11.87    544.94      0
  3630      0      0       0   3630   3630    580.31    19.30    548.47      0
  3677      0      0       0   3677   3677    532.52    18.90    499.70      0
  3723      0      0       0   3723   3723    537.26    18.85    505.48      0
  3789      0      0       0   3789   3789    516.12    14.45    487.35      0
  3552      0      0       0   3552   3552    574.69    51.42    508.70      0
  3632      0      0       0   3632   3632    529.08    14.06    500.85      0
  3407      0      0       0   3407   3407    607.37    32.97    559.10      0
  3670      0      0       0   3670   3670    540.67    12.16    514.48      0
  3713      0      0       0   3713   3713    529.12    18.92    496.69      0
  3558      0      0       0   3558   3558    574.45     9.89    552.34      0
  3765      0      0       0   3765   3765    552.22    20.88    516.36      0
  3512      0      0       0   3512   3512    582.21    13.52    556.22      0
  3618      0      0       0   3618   3618    563.15    19.98    529.74      0
  3695      0      0       0   3695   3695    540.41    10.07    518.64      0
  3720      0      0       0   3720   3720    567.36    37.27    516.66      0
  3650      0      0       0   3650   3650    571.51    18.96    537.95      0
  3553      0      0       0   3553   3553    579.27    31.20    533.05      0
  3459      0      0       0   3459   3459    590.49    33.69    543.41      0
  3602      0      0       0   3602   3602    570.64    42.96    514.43      0
  3545      0      0       0   3545   3545    564.86    10.52    537.31      0
  3598      0      0       0   3598   3598    582.43    11.68    558.24      0
  3494      0      0       0   3494   3494    616.82    20.07    581.12      0
  3452      0      0       0   3452   3452    612.44    40.04    559.67      0
  3483      0      0       0   3483   3483    609.59    42.31    552.12      0
  3325      0      0       0   3325   3325    649.78    50.76    583.12      0
  3577      0      0       0   3577   3577    586.29    31.79    541.53      0
  3476      0      0       0   3476   3476    573.44    23.17    536.54      0
  3480      0      0       0   3480   3480    597.53    13.03    571.19      0
  3520      0      0       0   3520   3520    588.01    48.41    525.25      0
  3451      0      0       0   3451   3451    594.40    12.75    569.01      0
  3436      0      0       0   3436   3436    601.61    17.55    570.76      0
  3461      0      0       0   3461   3461    603.48    46.79    542.91      0
  3489      0      0       0   3489   3489    601.25    37.36    548.29      0
  3528      0      0       0   3528   3528    589.72    12.75    563.89      0
  3588      0      0       0   3588   3588    592.12    32.05    546.80      0
  3483      0      0       0   3483   3483    579.96    15.73    551.32      0
  3648      0      0       0   3648   3648    594.81    13.06    569.24      2
  3736      0      0       0   3736   3736    585.19    16.08    555.52      0
  3617      0      0       0   3617   3617    582.82    16.23    552.91      0
    48      0      0       0     48     48   1215.21    30.58   1170.02      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
