Throughput,Latency
9023,2.65
9751,2.46
7671,3.14
8032,2.98
7992,2.97
9508,2.52
9341,2.58
8725,2.72
9178,2.61
9274,2.58
10522,2.29
10405,2.3
10243,2.34
7332,3.25
10222,2.34
9533,2.51
10155,2.36
7707,3.13
9739,2.46
9406,2.55
9240,2.57
8990,2.68
9691,2.46
8835,2.7
9798,2.45
9062,2.64
10544,2.27
10621,2.27
10056,2.37
9501,2.52
8099,2.95
8575,2.79
9226,2.59
10519,2.28
8885,2.69
5658,3.49
10075,2.85
9969,2.4
10287,2.35
8286,2.87
10325,2.34
9978,2.4
9406,2.53
9269,2.58
9586,2.51
10278,2.33
10971,2.19
10605,2.25
9928,2.41
9760,2.45
8369,2.5
10193,2.67
10057,2.24
9348,2.73
10383,2.31
9541,2.51
9206,2.58
10113,2.37
7634,3.14
10665,2.24
9293,2.57
10086,2.39
9710,2.45
10686,2.24
10590,2.28
8902,2.69
8746,2.72
9542,2.51
10391,2.32
9798,2.43
9236,2.59
8580,2.79
10851,2.22
9123,2.62
8943,2.65
10379,2.32
10216,2.33
9480,2.52
10497,2.3
10175,2.34
