Throughput,Latency
6271,1.26
6427,1.25
6511,1.22
5921,1.34
6568,1.22
6248,1.27
6522,1.22
6596,1.2
6391,1.25
6447,1.23
6733,1.18
6215,1.28
6018,1.34
6594,1.21
6395,1.24
6012,1.32
5489,1.45
5555,1.44
6157,1.29
6395,1.24
6300,1.26
6503,1.22
5492,1.45
6104,1.3
6406,1.24
5846,1.36
6045,1.28
6337,1.3
6303,1.26
6741,1.18
6254,1.27
6197,1.29
4872,1.63
5838,1.36
6043,1.32
5832,1.37
5749,1.39
5991,1.33
6103,1.3
5752,1.38
5947,1.34
6152,1.3
5431,1.46
6852,1.16
4968,1.59
5691,1.4
6490,1.23
6661,1.19
7143,1.12
6718,1.18
5703,1.39
6434,1.19
7075,1.17
6359,1.25
5775,1.38
5376,1.49
5708,1.4
6009,1.31
5559,1.44
6215,1.29
5660,1.41
6428,1.24
5964,1.33
5734,1.39
6010,1.33
5499,1.45
5920,1.34
5935,1.35
5684,1.4
5668,1.39
6096,1.32
6141,1.3
5939,1.33
5965,1.33
5979,1.33
5744,1.38
5716,1.39
5419,1.48
5685,1.4
5625,1.41
