Throughput,Latency
2071,15.38
2053,15.51
2052,15.52
2098,15.42
2048,15.55
2055,15.5
2069,15.39
2084,15.53
2088,15.26
2068,15.4
2064,15.43
2082,15.54
2040,15.61
2053,15.53
2063,15.45
2077,15.56
2094,15.25
2068,15.39
2083,15.29
2083,15.51
2067,15.41
2071,15.38
2062,15.45
2084,15.52
2052,15.52
2066,15.42
2081,15.54
2080,15.32
2081,15.31
2082,15.31
2150,15.05
2075,15.34
2065,15.44
2065,15.43
2083,15.52
2047,15.55
2043,15.61
2071,15.38
2118,15.29
2050,15.53
2085,15.28
2049,15.55
2080,15.55
2084,15.29
2044,15.59
2041,15.6
2123,15.24
2039,15.63
2039,15.62
2039,15.62
2084,15.53
2079,15.32
2039,15.62
2055,15.5
2087,15.51
2080,15.31
2066,15.42
2046,15.58
2071,15.62
2045,15.58
2041,15.6
2039,15.62
2082,15.54
2054,15.51
2039,15.62
2083,15.41
2055,15.65
2053,15.51
2080,15.33
2040,15.6
2134,15.16
2039,15.62
2061,15.46
2042,15.59
2071,15.62
2043,15.59
2077,15.34
2118,15.1
2138,15.08
2051,15.52
