Throughput,Latency
5465,0.73
5632,0.71
5556,0.72
5410,0.74
6316,0.63
5533,0.72
5509,0.72
6279,0.63
5924,0.67
5597,0.71
5843,0.68
5818,0.68
5876,0.68
6317,0.63
5447,0.73
5670,0.7
5543,0.72
5333,0.75
5958,0.67
5477,0.73
5601,0.71
5413,0.73
5676,0.7
5817,0.68
5404,0.74
5953,0.67
5615,0.71
5595,0.71
5859,0.68
5333,0.75
5544,0.72
5465,0.73
5780,0.69
6062,0.65
6593,0.6
6182,0.64
6171,0.64
5873,0.68
5473,0.73
5411,0.73
6048,0.66
5730,0.69
5765,0.69
5857,0.68
6038,0.66
6543,0.61
6000,0.66
6344,0.63
7044,0.56
6032,0.66
6242,0.64
6405,0.62
6028,0.66
5394,0.74
5143,0.77
5441,0.73
5555,0.72
6258,0.64
5721,0.7
5766,0.69
6056,0.66
5789,0.69
5618,0.71
5466,0.73
5745,0.69
6121,0.65
5502,0.72
6232,0.64
5715,0.7
5428,0.73
6011,0.66
5699,0.7
5944,0.67
5480,0.72
5573,0.71
6321,0.62
5555,0.72
5495,0.72
5493,0.72
5851,0.68
