Throughput,Latency
2855,5.6
2925,5.46
2783,5.76
2851,5.59
2853,5.61
2933,5.46
2930,5.46
2910,5.49
2931,5.45
2887,5.55
2889,5.53
2974,5.39
3161,5.05
2880,5.55
2939,5.44
2820,5.67
2981,5.36
2878,5.56
2893,5.53
2848,5.61
2896,5.52
2869,5.57
2871,5.57
3040,5.26
2836,5.63
2680,5.95
2902,5.52
2901,5.5
2868,5.57
2968,5.4
2765,5.78
2920,5.48
2857,5.58
2864,5.59
2866,5.58
2848,5.62
2900,5.51
2867,5.59
2877,5.54
2769,5.77
2989,5.35
3060,5.23
2950,5.39
3005,5.35
2845,5.62
2887,5.54
2915,5.49
2869,5.56
3000,5.33
2962,5.4
2727,5.87
2749,5.81
2876,5.56
2796,5.72
2835,5.64
2797,5.71
2811,5.69
2832,5.61
2812,5.73
2826,5.65
2730,5.86
2820,5.67
2664,6.02
2787,5.69
2802,5.75
2775,5.75
2689,5.83
2892,5.64
2923,5.47
3135,5.11
2995,5.33
2901,5.51
2850,5.62
2864,5.58
2808,5.7
2800,5.71
2816,5.67
2747,5.82
2831,5.66
2826,5.64
