SETS,GETS,MGETS,INVLD,TOT,HITS,RSP T,Q T,SVR T,Q LEN
0,6135,0,0,6135,5437,3338.19,230.93,3072.89,0
0,6524,0,0,6524,5729,3263.13,251.08,2985.66,0
0,6472,0,0,6472,5733,3357.12,160.14,3174.62,6
0,6494,0,0,6494,5641,3260.11,238.82,2993.79,0
0,6521,0,0,6521,5840,3257.48,184.11,3053.53,0
0,6195,0,0,6195,5580,3583.38,191.14,3366.29,0
0,6349,0,0,6349,5644,3319.28,182.81,3112.97,0
0,6417,0,0,6417,5629,3361.66,229.85,3105.33,0
0,6591,0,0,6591,5759,3252.32,168.19,3064.37,0
0,6429,0,0,6429,5620,3317.71,203.58,3093.70,2
0,6353,0,0,6353,5641,3517.03,286.34,3210.71,0
0,6245,0,0,6245,5648,3498.05,190.53,3287.13,0
0,6187,0,0,6187,5677,3533.27,172.58,3340.44,0
0,6229,0,0,6229,5749,3503.08,229.37,3253.49,10
0,6247,0,0,6247,5703,3485.42,184.84,3280.25,0
0,6273,0,0,6273,5657,3457.70,167.14,3271.92,0
0,6357,0,0,6357,5733,3392.84,232.83,3139.36,0
0,6136,0,0,6136,5644,3498.07,153.97,3324.10,3
0,6208,0,0,6208,5714,3110.94,157.92,2931.43,3
0,6429,0,0,6429,5723,3103.68,174.07,2907.67,7
0,6358,0,0,6358,5648,3430.91,176.30,3234.89,0
0,6179,0,0,6179,5584,3375.44,192.80,3162.91,0
0,6286,0,0,6286,5718,3534.21,197.27,3315.03,0
0,6414,0,0,6414,5737,3443.48,199.11,3224.81,0
0,6752,0,0,6752,5919,3104.97,180.25,2904.49,0
0,6370,0,0,6370,5575,3313.61,201.07,3086.89,0
0,6528,0,0,6528,5729,3260.95,222.03,3011.61,0
0,6394,0,0,6394,5616,3376.82,246.86,3107.39,0
0,6366,0,0,6366,5611,3377.81,254.34,3099.02,2
0,6240,0,0,6240,5596,3458.33,239.20,3196.51,0
0,6119,0,0,6119,5523,3439.38,383.33,3035.27,20
0,6320,0,0,6320,5663,3273.25,202.81,3050.25,0
0,6272,0,0,6272,5609,3252.03,299.54,2932.49,2
0,5918,0,0,5918,5287,3408.49,204.72,3182.39,0
0,6226,0,0,6226,5513,3408.06,317.19,3068.59,1
0,6363,0,0,6363,5640,3357.69,251.27,3084.54,0
0,6266,0,0,6266,5563,3445.27,252.90,3173.40,0
0,6193,0,0,6193,5534,3293.59,190.68,3080.55,0
0,6190,0,0,6190,5514,3364.23,202.10,3141.37,0
0,6287,0,0,6287,5653,3279.27,200.42,3054.30,6
0,7395,0,0,7395,6547,2861.91,221.86,2615.61,0
0,6341,0,0,6341,5684,3505.66,197.24,3284.53,0
0,6294,0,0,6294,5592,3132.70,230.56,2875.38,4
0,6100,0,0,6100,5444,3438.79,213.66,3201.78,0
0,6380,0,0,6380,5674,3404.41,218.32,3164.99,0
0,6208,0,0,6208,5493,3192.00,191.75,2970.28,0
0,6412,0,0,6412,5735,3315.72,179.08,3113.28,0
0,6320,0,0,6320,5618,3347.27,166.85,3160.06,0
0,6203,0,0,6203,5541,3382.01,267.04,3090.81,0
0,6087,0,0,6087,5442,3554.20,202.44,3321.51,0
0,5956,0,0,5956,5328,3637.60,306.76,3308.74,0
0,6313,0,0,6313,5636,3316.08,212.12,3082.72,13
0,6280,0,0,6280,5596,3457.94,189.02,3250.33,0
0,6147,0,0,6147,5489,3586.33,195.89,3362.43,0
0,6255,0,0,6255,5568,3334.69,211.16,3099.87,0
0,6459,0,0,6459,5724,3458.14,163.72,3274.85,0
0,6347,0,0,6347,5633,3449.16,148.84,3274.90,0
0,6344,0,0,6344,5637,3356.29,165.38,3171.66,6
0,6380,0,0,6380,5637,3228.70,195.38,3010.19,1
0,6350,0,0,6350,5627,3309.35,184.08,3107.24,0
0,6301,0,0,6301,5597,3403.82,194.42,3184.35,0
0,6304,0,0,6304,5635,3186.74,207.59,2958.59,0
0,5947,0,0,5947,5332,3308.85,211.47,3069.01,0
0,6271,0,0,6271,5604,3328.42,165.26,3144.92,7
0,6012,0,0,6012,5333,3265.71,202.37,3038.24,0
0,6315,0,0,6315,5595,3317.91,165.97,3131.11,0
0,6337,0,0,6337,5617,3172.99,205.02,2946.54,6
0,6252,0,0,6252,5523,3197.17,224.17,2950.55,12
0,6293,0,0,6293,5594,3364.33,158.17,3187.17,0
0,6492,0,0,6492,5767,3079.05,213.91,2842.65,0
0,6299,0,0,6299,5643,3296.49,195.87,3082.50,0
0,6256,0,0,6256,5617,3331.05,231.16,3080.02,3
0,6062,0,0,6062,5496,3346.40,187.66,3130.56,3
0,6084,0,0,6084,5545,3308.30,196.19,3090.70,0
0,6251,0,0,6251,5678,3343.94,196.07,3128.99,0
0,6244,0,0,6244,5647,3301.76,236.84,3043.70,15
0,6166,0,0,6166,5530,3230.41,187.11,3019.99,0
0,6003,0,0,6003,5408,3297.92,168.66,3100.05,0
0,6289,0,0,6289,5622,2845.20,170.46,2648.77,0
0,5934,0,0,5934,5285,3216.79,169.21,3019.97,0
