Throughput,Latency
1286,3.1
1364,2.92
1310,3.05
1262,3.16
1305,3.05
1314,3.04
1301,3.06
1219,3.27
1286,3.1
1311,3.04
1277,3.12
1284,3.11
1302,3.06
1311,3.04
1351,2.96
1345,2.97
1334,2.99
1330,3.0
1358,2.94
1304,3.06
1290,3.09
1268,3.15
1302,3.05
1291,3.09
1363,2.93
1317,2.99
1245,3.24
1274,3.13
1316,3.03
1302,3.06
1308,3.05
1297,3.08
1312,3.04
1330,3.0
1292,3.09
1291,3.09
1273,3.13
1326,3.01
1282,3.1
1309,3.05
1312,3.04
1351,2.96
1308,3.04
1301,3.07
1335,2.99
1280,3.12
1390,2.87
1374,2.9
1400,2.84
1392,2.87
1397,2.86
1330,2.97
1230,3.27
1343,2.97
1288,3.09
1317,3.03
1343,2.97
1258,3.17
1309,3.05
1300,3.06
1347,2.97
1448,2.74
1341,2.99
1351,2.95
1278,3.12
1276,3.13
1326,3.0
1345,2.97
1335,2.98
1333,3.0
1326,3.01
1334,2.99
1315,3.03
1293,3.09
1337,2.98
1346,2.96
1301,3.07
1338,2.98
1318,3.02
1322,3.02
