SETS,GETS,MGETS,INVLD,TOT,HITS,RSP T,Q T,SVR T,Q LEN
2455,0,0,0,2455,2455,2122.26,92.15,2009.48,0
2455,0,0,0,2455,2455,2165.81,124.02,2019.73,0
2388,0,0,0,2388,2388,2171.11,103.52,2046.96,0
2410,0,0,0,2410,2410,2204.30,119.04,2053.49,0
2473,0,0,0,2473,2473,2142.09,91.66,2029.18,0
2456,0,0,0,2456,2456,2143.62,95.12,2029.47,0
2514,0,0,0,2514,2514,2113.12,93.90,1998.15,0
2388,0,0,0,2388,2388,2165.34,91.96,2051.74,0
2404,0,0,0,2404,2404,2138.22,92.86,2027.71,0
2380,0,0,0,2380,2380,2190.89,90.74,2063.67,0
2273,0,0,0,2273,2273,2352.25,121.43,2182.70,5
2196,0,0,0,2196,2196,2409.82,189.10,2201.07,0
2430,0,0,0,2430,2430,2151.99,83.33,2033.06,0
2477,0,0,0,2477,2477,2143.85,73.27,2047.99,0
2423,0,0,0,2423,2423,2162.76,85.42,2054.68,0
2447,0,0,0,2447,2447,2102.18,89.63,1989.53,0
2332,0,0,0,2332,2332,2261.18,153.74,2066.09,0
2459,0,0,0,2459,2459,2129.55,125.10,1972.39,0
2499,0,0,0,2499,2499,2175.95,114.15,2010.67,1
2560,0,0,0,2560,2560,2068.30,85.89,1944.95,0
2662,0,0,0,2662,2662,2000.95,83.37,1897.76,0
2525,0,0,0,2525,2525,2059.61,82.06,1951.70,0
2526,0,0,0,2526,2526,2093.65,113.74,1951.51,0
2370,0,0,0,2370,2370,2186.14,113.78,2045.62,0
2392,0,0,0,2392,2392,2150.40,82.54,2047.85,1
2422,0,0,0,2422,2422,2202.85,124.51,2041.04,0
2479,0,0,0,2479,2479,2092.67,84.70,1987.78,3
2350,0,0,0,2350,2350,2103.89,82.38,1987.35,0
2448,0,0,0,2448,2448,2142.79,91.69,2031.03,0
2284,0,0,0,2284,2284,2285.83,91.82,2173.26,0
2342,0,0,0,2342,2342,2267.50,128.41,2107.27,0
2429,0,0,0,2429,2429,2123.82,98.22,2005.39,1
2447,0,0,0,2447,2447,2145.22,95.12,2024.36,0
2461,0,0,0,2461,2461,2154.25,86.41,2047.26,0
2392,0,0,0,2392,2392,2188.71,83.53,2085.99,0
2473,0,0,0,2473,2473,2088.59,75.55,1995.63,0
2443,0,0,0,2443,2443,2129.33,79.39,2030.37,0
2487,0,0,0,2487,2487,2103.07,78.60,2005.62,0
2243,0,0,0,2243,2243,2233.98,100.53,2112.41,0
2334,0,0,0,2334,2334,2196.42,97.47,2080.47,4
2370,0,0,0,2370,2370,2225.22,93.41,2108.38,0
2357,0,0,0,2357,2357,2203.41,118.67,2066.63,0
2310,0,0,0,2310,2310,2305.37,86.73,2199.00,0
2463,0,0,0,2463,2463,2152.96,87.76,2045.56,0
2355,0,0,0,2355,2355,2156.63,93.91,2042.52,0
2375,0,0,0,2375,2375,2152.91,94.28,2038.92,0
2412,0,0,0,2412,2412,2125.22,83.83,2020.98,1
2411,0,0,0,2411,2411,2214.55,97.98,2095.87,0
2399,0,0,0,2399,2399,2201.34,104.16,2079.25,0
2380,0,0,0,2380,2380,2247.50,106.11,2122.23,1
2340,0,0,0,2340,2340,2263.23,88.96,2154.31,0
2374,0,0,0,2374,2374,2213.78,91.62,2102.09,0
2298,0,0,0,2298,2298,2276.93,92.13,2165.58,0
2173,0,0,0,2173,2173,2402.88,88.58,2296.34,0
2250,0,0,0,2250,2250,2292.82,92.27,2179.80,0
2389,0,0,0,2389,2389,2205.05,79.55,2108.11,0
2327,0,0,0,2327,2327,2166.88,73.25,2076.12,0
2378,0,0,0,2378,2378,2208.19,64.23,2126.99,0
2331,0,0,0,2331,2331,2224.37,79.26,2127.41,0
2276,0,0,0,2276,2276,2296.78,76.74,2203.90,1
2295,0,0,0,2295,2295,2196.01,84.28,2093.82,0
2492,0,0,0,2492,2492,2124.59,77.43,2026.69,0
2421,0,0,0,2421,2421,2198.49,137.44,2034.86,0
2456,0,0,0,2456,2456,2165.60,87.09,2059.20,0
2451,0,0,0,2451,2451,2168.58,88.01,2056.89,0
2346,0,0,0,2346,2346,2307.91,92.85,2161.96,0
2342,0,0,0,2342,2342,2229.04,108.04,2072.91,0
2337,0,0,0,2337,2337,2204.98,95.36,2091.25,0
2275,0,0,0,2275,2275,2307.21,97.83,2163.77,0
2301,0,0,0,2301,2301,2245.25,88.87,2137.74,0
2532,0,0,0,2532,2532,2139.98,73.80,2008.94,0
2396,0,0,0,2396,2396,2188.67,85.93,2083.61,0
2386,0,0,0,2386,2386,2302.02,83.41,2192.16,0
2446,0,0,0,2446,2446,2134.34,86.32,2028.23,0
2407,0,0,0,2407,2407,2212.01,116.26,2065.36,0
2440,0,0,0,2440,2440,2183.24,91.97,2070.75,0
2363,0,0,0,2363,2363,2265.80,93.60,2150.01,0
2451,0,0,0,2451,2451,2114.11,95.40,1999.61,0
2480,0,0,0,2480,2480,2090.76,83.43,1989.09,0
2484,0,0,0,2484,2484,2109.56,94.74,1994.77,0
