Throughput,Latency
6013,0.66
5000,0.79
4941,0.8
4839,0.82
4764,0.82
4657,0.85
4897,0.8
4750,0.83
4396,0.9
4215,0.93
5530,0.71
4725,0.84
4008,0.99
3650,1.08
3966,0.99
4672,0.85
3885,1.02
5379,0.74
3776,1.04
5018,0.79
5002,0.79
4306,0.91
4678,0.84
4682,0.85
4409,0.9
4442,0.88
4762,0.84
4546,0.87
4359,0.9
5012,0.79
5406,0.73
5856,0.68
5219,0.76
5316,0.75
4592,0.85
4636,0.85
4597,0.86
5000,0.79
4207,0.94
3631,1.08
4693,0.84
4784,0.83
4264,0.93
4823,0.81
4356,0.9
3992,0.98
5101,0.78
3706,1.06
3720,1.07
4563,0.87
4784,0.83
5266,0.75
5363,0.73
5223,0.75
4916,0.81
4574,0.86
3936,1.0
4214,0.93
4498,0.88
3904,1.03
4257,0.93
4516,0.88
5019,0.78
4861,0.81
4974,0.8
5068,0.78
4919,0.81
5387,0.73
4205,0.94
4345,0.91
4432,0.89
3839,1.04
4372,0.9
4955,0.8
5191,0.76
4917,0.81
4489,0.88
5113,0.78
4400,0.9
3956,1.0
