Throughput,Latency
5973,1.33
6431,1.25
5908,1.35
7276,1.1
6974,1.14
6466,1.24
6487,1.23
6877,1.16
7285,1.1
6863,1.16
6072,1.31
6598,1.2
6111,1.31
6078,1.31
6441,1.24
5682,1.4
6932,1.15
6598,1.21
6140,1.3
6037,1.32
6136,1.3
6192,1.29
6271,1.27
5457,1.46
6295,1.26
5927,1.34
6112,1.31
6486,1.23
6323,1.27
6158,1.29
6281,1.26
6211,1.28
6088,1.31
6565,1.21
6400,1.25
6260,1.27
6682,1.18
6543,1.21
6813,1.17
6106,1.3
6231,1.28
7224,1.1
5762,1.39
5853,1.37
5767,1.38
6544,1.21
6479,1.23
5977,1.33
6286,1.27
5863,1.35
5395,1.48
5651,1.41
5601,1.42
5546,1.44
5982,1.33
5705,1.33
6103,1.37
6556,1.22
5835,1.36
6510,1.23
5931,1.34
6545,1.22
6060,1.32
6035,1.32
5891,1.36
6115,1.3
5909,1.34
6501,1.23
6016,1.33
5837,1.36
6500,1.23
6600,1.21
6662,1.2
6397,1.24
6058,1.31
6024,1.33
5901,1.35
6244,1.27
5918,1.34
6008,1.33
