Throughput,Latency
4655,6.84
4563,6.98
4683,6.91
4427,7.19
4536,7.02
4469,7.13
4665,6.93
4584,6.95
4478,7.12
4452,7.15
4737,6.84
4486,7.1
4447,7.17
4631,6.87
4528,7.15
4526,7.04
4391,7.26
4371,7.39
4498,7.1
4502,7.07
4451,7.16
4453,7.26
4491,7.1
4477,7.12
4446,7.16
4509,7.17
4452,7.16
4349,7.33
4492,7.09
4721,6.85
4548,7.01
4455,7.17
4481,7.09
4790,6.75
4642,6.84
4680,6.8
4891,6.61
4660,6.84
4845,6.58
4863,6.63
4740,6.71
4716,6.76
4656,6.84
4793,6.75
4549,6.97
4794,6.65
4880,6.63
4799,6.64
4964,6.42
5052,6.38
4814,6.62
4625,6.88
4819,6.66
4722,6.81
4857,6.56
4614,6.91
4601,7.02
4750,6.72
4672,6.81
4790,6.72
4627,6.89
4774,6.67
4572,6.97
4757,6.8
4742,6.74
4721,6.76
4712,6.77
4747,6.71
4741,6.82
4567,6.95
4616,6.9
4751,6.81
4595,6.94
4632,6.88
4641,6.89
4716,6.76
4665,6.94
4601,6.92
4593,6.94
4704,6.77
