Throughput,Latency
5262,6.07
5331,6.02
4953,6.41
5379,5.97
5352,5.98
5155,6.19
5309,6.02
5398,5.95
5062,6.29
5173,6.18
5231,6.15
5257,6.04
5175,6.2
4978,6.42
5379,5.95
5538,5.8
5396,5.92
5366,5.94
5419,5.92
5363,5.96
5265,6.05
5064,6.33
5324,6.03
5405,5.9
5338,5.97
5448,5.88
5508,5.84
5251,6.05
5357,6.0
5044,6.32
5181,6.21
5389,5.94
5274,6.04
5365,5.97
5180,6.17
5359,5.97
5303,6.03
5104,6.27
5504,5.81
5550,5.77
5192,6.12
5454,5.88
5414,5.89
5161,6.19
4940,6.5
5310,6.02
5045,6.33
5328,6.04
5005,6.36
5074,6.29
5275,6.1
5188,6.15
5186,6.15
4794,6.7
5050,6.34
5323,6.01
5075,6.27
5156,6.24
5329,6.0
4858,6.59
5115,6.24
5081,6.31
5459,5.83
5259,6.11
5132,6.23
5065,6.32
5035,6.33
5159,6.23
5237,6.08
5100,6.27
5210,6.17
5140,6.22
5458,5.84
5282,6.07
5191,6.15
4926,6.5
5159,6.17
5396,5.96
5226,6.12
5137,6.2
