Repetition,Client,Subclient,Average Throughput,Std Throughput,Average Latency,Std Latency
1,1,1,2753.8875,88.0490360718,23.24825,0.759009639538
1,1,Total,2753.8875,88.0490360718,23.24825,0.759009639538
1,2,1,2781.2125,88.0390727052,23.02425,0.758689367898
1,2,Total,2781.2125,88.0390727052,23.02425,0.758689367898
1,3,1,2724.4125,76.5598456657,23.4955,0.668994900739
1,3,Total,2724.4125,76.5598456657,23.4955,0.668994900739
1,Total,Total,8259.5125,240.528900011,23.256,0.69757232232
2,1,1,2739.9125,71.491381042,23.360625,0.625571827019
2,1,Total,2739.9125,71.491381042,23.360625,0.625571827019
2,2,1,2762.5375,72.3208294575,23.1705,0.610276758134
2,2,Total,2762.5375,72.3208294575,23.1705,0.610276758134
2,3,1,2711.975,73.7769431582,23.607375,0.671598779694
2,3,Total,2711.975,73.7769431582,23.607375,0.671598779694
2,Total,Total,8214.425,202.996774621,23.3795,0.589229418832
3,1,1,2753.7,86.4262911241,23.250625,0.737883294518
3,1,Total,2753.7,86.4262911241,23.250625,0.737883294518
3,2,1,2775.75,74.2538410548,23.061875,0.650365221154
3,2,Total,2775.75,74.2538410548,23.061875,0.650365221154
3,3,1,2723.4125,78.7548180162,23.505875,0.726928154042
3,3,Total,2723.4125,78.7548180162,23.505875,0.726928154042
3,Total,Total,8252.8625,231.795290728,23.2727916667,0.686783703055
Total,Total,Total,8242.26666667,111.139594943,23.3027638889,0.327359693972
