Repetition,Middleware,Average Throughput,Std Throughput,Average Latency,Std Latency,Average Gets,Average Multigets,Average Sets,Average Invalids,Average Hits,Average Queue Length,Std Queue Length,Average Queue Time,Std Queue Time,Average Server Time,Std Server Time
1,1,2651.1625,228.316593638,34.633778625,3.28173559568,0.0,0.0,2651.1625,0.0,2651.1625,85.05,3.13776506773,31.6432025,2.99285293505,2.953395,0.287785249642
1,2,3439.5375,79.0679796845,26.66889225,0.622181915493,0.0,0.0,3439.5375,0.0,3439.5375,85.5125,2.90348437554,24.385215,0.569905040145,2.264522,0.0524583323835
1,Total,6090.7,255.653464031,30.6513354375,1.72134770399,0.0,0.0,6090.7,0.0,6090.7,85.28125,2.24854911026,28.01420875,1.5704379922,2.6089585,0.150378029345
2,1,2701.65,136.874524449,33.75664325,1.77506216655,0.0,0.0,2701.65,0.0,2701.65,84.3875,3.93135319892,30.843780875,1.62077305035,2.877361625,0.15391219076
2,2,3441.825,117.022639268,26.660171875,0.972893216869,0.0,0.0,3441.825,0.0,3441.825,85.15,2.96434508318,24.377161875,0.892940142862,2.264119,0.0801299838253
2,Total,6143.475,207.921539182,30.2084075625,1.15865105816,0.0,0.0,6143.475,0.0,6143.475,84.76875,2.26691078203,27.610471375,1.06074654143,2.5707403125,0.0978859001022
3,1,2634.975,199.675431258,34.7666035,2.8582695419,0.0,0.0,2634.975,0.0,2634.975,85.0125,2.98728847035,31.765893375,2.60655274705,2.96475875,0.250611687077
3,2,3440.6125,75.7302831841,26.706458,0.600516064546,0.0,0.0,3440.6125,0.0,3440.6125,85.225,3.07696628499,24.419311125,0.551031034953,2.2686665,0.0498986217587
3,Total,6075.5875,222.961635671,30.73653075,1.49743546728,0.0,0.0,6075.5875,0.0,6075.5875,85.11875,2.12912852856,28.09260225,1.36631171341,2.616712625,0.130737202953
Total,Total,6103.25416667,127.504504691,30.53209125,0.807908880432,0.0,0.0,6103.25416667,0.0,6103.25416667,85.05625,1.19331935204,27.9057607917,0.737231958266,2.5988038125,0.0704645334686
