Throughput,Response time (ms),Queue time (ms),Queue length
12577.0,2713.82833333,506.273333333,2.0
12691.6666667,2676.865,507.873333333,4.83333333333
12617.6666667,2680.865,501.653333333,1.5
12328.3333333,2729.55,519.108333333,5.5
12341.6666667,2723.14666667,482.88,3.0
12742.0,2719.58333333,517.705,3.16666666667
11841.0,2823.96833333,497.27,1.5
12390.3333333,2675.23833333,490.646666667,2.33333333333
12344.3333333,2681.22333333,498.781666667,2.5
11430.6666667,2799.00833333,570.853333333,5.5
12056.0,2856.13166667,533.081666667,2.0
12043.3333333,2832.595,551.141666667,7.66666666667
12334.6666667,2704.88,499.853333333,0.666666666667
12106.0,2797.46,546.066666667,5.0
12321.0,2677.43333333,477.795,2.33333333333
12311.3333333,2775.35166667,524.92,3.16666666667
12377.3333333,2781.84833333,528.853333333,2.16666666667
12255.3333333,2722.865,482.018333333,4.66666666667
12480.0,2702.535,503.818333333,4.5
12729.6666667,2686.515,500.061666667,2.66666666667
12577.6666667,2717.15833333,497.055,4.33333333333
12175.6666667,2882.07666667,540.421666667,0.666666666667
11928.3333333,2786.25333333,500.92,1.83333333333
12382.6666667,2738.035,482.071666667,0.833333333333
12005.3333333,2720.33333333,465.025,4.33333333333
12359.3333333,2746.09833333,471.221666667,1.83333333333
12961.3333333,2692.12166667,467.226666667,2.33333333333
11981.3333333,2752.79166667,502.326666667,0.833333333333
12290.6666667,2637.83,467.785,2.33333333333
12535.6666667,2665.865,477.966666667,3.33333333333
12055.3333333,2874.195,506.436666667,3.33333333333
12127.0,2755.21833333,501.871666667,5.5
12371.3333333,2768.025,501.47,0.5
12379.0,2736.39833333,501.925,3.83333333333
12323.0,2710.24333333,495.571666667,4.5
12541.6666667,2681.68333333,481.576666667,2.16666666667
12557.6666667,2717.30333333,504.563333333,3.16666666667
11354.6666667,2986.75,492.178333333,0.0
11639.3333333,2941.35833333,507.68,2.66666666667
12558.3333333,2660.00166667,460.96,3.83333333333
12425.0,2760.18666667,502.595,3.33333333333
12166.0,2801.32333333,506.878333333,4.16666666667
12514.3333333,2749.99333333,516.595,3.66666666667
11845.6666667,2924.63166667,477.925,3.5
11889.6666667,2807.17333333,510.203333333,3.5
12511.6666667,2742.57666667,515.345,3.66666666667
12519.0,2678.05,502.286666667,3.66666666667
12567.3333333,2699.58,497.131666667,4.66666666667
12078.0,2785.55333333,515.418333333,3.33333333333
12313.6666667,2654.25,487.586666667,0.0
12616.6666667,2743.72166667,518.578333333,2.16666666667
12557.6666667,2748.98833333,530.935,2.5
12513.3333333,2665.71833333,500.651666667,1.66666666667
11942.3333333,2836.36333333,497.096666667,5.66666666667
12678.6666667,2638.51666667,484.576666667,3.66666666667
12354.0,2805.81666667,525.86,2.33333333333
12359.6666667,2730.05833333,511.24,5.16666666667
12354.6666667,2706.70166667,502.16,1.66666666667
12440.6666667,2711.62666667,513.956666667,3.0
12228.6666667,2785.325,523.061666667,0.833333333333
12589.0,2800.755,540.535,4.16666666667
11715.3333333,2913.87333333,561.361666667,3.5
12427.3333333,2724.94666667,486.071666667,3.83333333333
12479.0,2729.83666667,497.35,6.33333333333
12435.0,2730.05,501.585,5.16666666667
12460.3333333,2772.80333333,533.328333333,6.33333333333
12218.6666667,2809.88166667,540.458333333,0.5
12738.6666667,2763.89,511.766666667,1.16666666667
12479.3333333,2625.685,451.171666667,0.5
12242.3333333,2739.175,496.25,5.83333333333
11330.3333333,3166.705,521.765,4.5
12435.0,2729.91666667,508.983333333,1.66666666667
12628.6666667,2674.945,502.161666667,2.0
12526.0,2757.175,515.676666667,2.5
12342.6666667,2762.725,525.778333333,1.66666666667
12805.0,2713.15333333,499.228333333,2.5
12053.3333333,2823.19833333,530.573333333,3.33333333333
12177.6666667,2716.24666667,505.108333333,5.0
12698.3333333,2699.55,496.515,4.33333333333
12306.3333333,2770.48833333,524.22,3.0
