Throughput,Response time (ms),Queue time (ms),Queue length
2609.0,2006.28833333,22.5916666667,0.0
2592.0,2017.01,25.9716666667,0.166666666667
2589.66666667,1991.455,18.1,0.0
2519.0,2060.3,32.0366666667,0.0
2563.66666667,2039.10666667,29.5016666667,0.0
2557.33333333,2014.86333333,40.2783333333,0.0
2518.66666667,2011.86833333,39.905,0.166666666667
2490.66666667,2067.24833333,29.4866666667,0.0
2488.33333333,2082.58166667,29.4983333333,0.0
2596.66666667,2013.55166667,39.0366666667,0.0
2600.33333333,1995.63333333,25.275,0.0
2604.66666667,1973.68833333,28.3916666667,0.0
2554.66666667,2029.24666667,22.1233333333,0.0
2582.33333333,2006.355,21.05,0.0
2577.33333333,1987.05666667,24.9033333333,0.0
2607.66666667,1991.78,15.71,0.0
2570.33333333,1997.57166667,20.955,0.0
2536.33333333,2022.09166667,24.2683333333,0.166666666667
2574.66666667,1985.485,23.155,0.0
2592.0,1994.60666667,22.4716666667,0.0
2610.0,1983.98833333,19.43,0.166666666667
2584.0,1997.55666667,18.0816666667,0.0
2561.33333333,2024.59333333,22.935,0.0
2591.66666667,1981.87333333,19.7016666667,0.166666666667
2593.0,2001.99666667,18.515,0.0
2614.33333333,1976.50833333,24.33,0.0
2658.66666667,1942.81833333,20.5033333333,0.0
2574.66666667,1986.895,30.815,0.0
2604.33333333,1985.47833333,25.045,0.0
2555.33333333,2000.15166667,19.25,0.0
2551.33333333,2025.27833333,30.025,0.0
2556.0,2022.35166667,20.7833333333,0.0
2531.0,2031.19166667,30.6916666667,0.0
2563.0,1996.54833333,32.2283333333,0.0
2515.66666667,2061.83333333,29.8666666667,0.0
2536.33333333,2062.07,21.1633333333,0.0
2521.0,2025.74333333,25.0716666667,0.166666666667
2527.33333333,2058.67166667,30.2766666667,0.0
2592.66666667,2005.44333333,28.7933333333,0.0
2576.66666667,2017.85666667,29.39,0.0
2630.33333333,1939.74,26.695,0.0
2638.33333333,1965.16833333,25.185,0.0
2609.0,1979.39166667,32.7733333333,0.0
2614.0,1987.19,28.845,0.0
2594.33333333,2004.66666667,31.865,0.0
2620.0,1947.84166667,31.3483333333,0.0
2587.33333333,2021.65166667,35.6416666667,0.0
2570.0,2035.46833333,32.5116666667,0.0
2611.33333333,1975.53666667,29.7816666667,0.0
2597.66666667,1986.61333333,25.4966666667,0.0
2627.33333333,1967.39666667,17.245,0.0
2578.0,1989.37166667,20.4916666667,0.0
2569.33333333,1988.64333333,24.475,0.0
2568.0,1997.52333333,24.3666666667,0.0
2585.0,2012.24166667,32.5516666667,0.333333333333
2621.66666667,1994.16333333,27.3483333333,0.0
2579.0,2005.785,18.9216666667,0.0
2577.33333333,2005.085,29.7016666667,0.0
2602.66666667,1990.42666667,16.3766666667,0.0
2558.66666667,1993.49333333,16.3733333333,0.0
2560.33333333,2011.79,28.33,0.0
2560.33333333,2008.59,25.5583333333,0.0
2553.66666667,2017.295,20.8966666667,0.166666666667
2607.0,1990.75833333,30.3866666667,0.0
2605.0,1977.87666667,14.3416666667,0.0
2540.66666667,2023.04666667,23.8016666667,0.0
2586.33333333,1962.50833333,19.3383333333,0.333333333333
2566.33333333,2032.19833333,25.4066666667,0.0
2540.0,2027.96,19.415,0.0
2564.66666667,2018.34833333,21.19,0.0
2555.66666667,2021.3,15.705,0.0
2539.66666667,2032.305,17.5283333333,0.0
2524.66666667,2046.705,20.2666666667,0.0
2611.66666667,1988.32,28.8283333333,0.166666666667
2572.33333333,1978.82333333,22.8533333333,0.0
2602.0,1993.62666667,22.9216666667,0.333333333333
2626.0,1953.92333333,18.8966666667,0.166666666667
2606.0,1975.2,21.4283333333,0.0
2610.33333333,1954.975,19.9166666667,0.0
2541.33333333,2000.18166667,20.905,0.0
