Throughput,latency(ms)
6812.33333333,0.601666666667
6444.33333333,0.625
7126.33333333,0.565
7636.66666667,0.518333333333
6522.66666667,0.616666666667
5999.66666667,0.68
5821.33333333,0.695
6550.33333333,0.608333333333
6414.0,0.626666666667
6632.0,0.605
7066.66666667,0.568333333333
6657.33333333,0.593333333333
6032.0,0.678333333333
5597.66666667,0.71
6068.0,0.656666666667
6177.0,0.651666666667
6205.33333333,0.66
6393.33333333,0.641666666667
6344.66666667,0.651666666667
6452.0,0.616666666667
5513.33333333,0.726666666667
6287.33333333,0.64
6242.0,0.636666666667
5877.33333333,0.675
6060.66666667,0.66
6332.33333333,0.645
6693.0,0.6
5833.33333333,0.686666666667
5891.0,0.691666666667
6368.33333333,0.635
6549.66666667,0.608333333333
6916.0,0.575
6658.0,0.591666666667
6373.66666667,0.618333333333
6584.33333333,0.601666666667
6267.66666667,0.638333333333
7069.33333333,0.568333333333
6546.66666667,0.608333333333
5981.0,0.68
6314.0,0.645
6324.66666667,0.635
5902.0,0.68
6190.0,0.655
6372.66666667,0.62
6731.33333333,0.605
6585.66666667,0.606666666667
6471.33333333,0.618333333333
6876.66666667,0.575
6555.0,0.608333333333
6127.66666667,0.656666666667
6427.33333333,0.621666666667
6558.66666667,0.61
6908.0,0.575
6039.33333333,0.665
5846.66666667,0.696666666667
6534.0,0.623333333333
6751.33333333,0.606666666667
6295.66666667,0.636666666667
6621.0,0.615
6705.0,0.601666666667
6150.66666667,0.666666666667
6380.0,0.636666666667
6157.0,0.651666666667
6239.66666667,0.648333333333
6579.0,0.621666666667
6469.0,0.636666666667
6415.33333333,0.626666666667
6498.33333333,0.635
6403.66666667,0.631666666667
6558.33333333,0.613333333333
6954.33333333,0.578333333333
6954.33333333,0.573333333333
6386.0,0.618333333333
6418.33333333,0.638333333333
6621.66666667,0.61
5718.33333333,0.698333333333
5614.66666667,0.721666666667
5929.0,0.69
6001.33333333,0.686666666667
6608.33333333,0.603333333333
