Throughput,latency(ms)
8553,1.87
9962,1.60
10236,1.57
10264,1.55
9892,1.61
10092,1.59
10255,1.56
10301,1.54
10465,1.53
10063,1.59
9699,1.64
10454,1.53
10175,1.57
10341,1.55
10020,1.59
10152,1.57
10129,1.58
10253,1.56
10273,1.55
10311,1.54
10220,1.57
9995,1.60
10232,1.56
10296,1.55
10070,1.59
10098,1.58
10042,1.59
10502,1.53
10189,1.57
10013,1.59
10620,1.51
10076,1.59
10770,1.48
10263,1.56
10524,1.52
10744,1.49
9948,1.60
10923,1.46
10408,1.54
10480,1.51
10382,1.55
9935,1.61
10194,1.56
10383,1.55
10032,1.59
10127,1.58
10067,1.59
10096,1.58
10744,1.48
9932,1.61
10157,1.58
10548,1.51
10211,1.56
10541,1.52
10793,1.47
10404,1.54
10166,1.57
10143,1.57
10014,1.60
10075,1.58
10537,1.52
10531,1.52
10159,1.57
10220,1.56
10045,1.59
9808,1.63
10059,1.59
9968,1.60
9742,1.64
9916,1.61
9846,1.62
10160,1.57
10115,1.58
10032,1.60
10189,1.56
10306,1.55
10491,1.53
9842,1.62
10397,1.54
10073,1.59
10188,1.57
10219,1.56
9881,1.61
10270,1.56
10148,1.57
9954,1.60
10436,1.54
10205,1.57
10091,1.57
3720,4.29
3361,4.75
3282,4.88
3208,4.99
3417,4.66
3496,4.59
3422,4.68
3285,4.84
3218,5.00
3275,4.87
3425,4.68
3361,4.74
3290,4.86
3466,4.60
3529,4.56
3535,4.52
3308,4.82
3178,5.01
3373,4.76
3358,4.77
3302,4.83
3146,5.09
3391,4.70
3403,4.70
3382,4.75
3342,4.78
3634,4.39
3369,4.75
3160,5.07
3346,4.77
3393,4.72
3397,4.67
3123,5.12
3304,4.83
3257,4.94
3348,4.76
3363,4.78
3139,5.09
3148,5.06
3374,4.75
3249,4.93
3294,4.83
3419,4.69
3474,4.62
3285,4.84
3211,5.00
3180,5.03
3369,4.74
3456,4.62
3233,4.95
3350,4.74
3357,4.78
3232,4.97
3315,4.79
3240,4.97
3317,4.80
3322,4.81
