Operation,Sharded,Workers,Clients,Machine type,Machine number,Average CPU usage,Std CPU usage,Average Network receive,Std Network receive,Average Network write,Std Network write
0:1,true,64,2,mw,1,7.6,0.528778014357,2756358.33333,89979.9755032,2873533.33333,92931.982144
0:1,true,64,2,mw,2,5.3375,0.466888886211,3244641.66667,44788.352885,3373016.66667,45415.4412795
0:1,true,64,2,mw,total,6.46875,0.42021171243,3000500.0,58004.1950081,3123275.0,59553.5375915
0:1,true,64,2,client,1,10.8375,0.427578633756,1878279.16667,39512.3026916,140262.5,2937.55629566
0:1,true,64,2,client,2,7.92083333333,0.401276970123,2003512.5,50320.4343645,149579.166667,3743.4401133
0:1,true,64,2,client,3,7.94166666667,0.46168224166,1704970.83333,30848.5795924,127291.666667,2310.84704485
0:1,true,64,2,client,total,8.9,0.263174508651,1862254.16667,34351.8613894,139044.444444,2557.08998146
0:1,true,64,2,server,1,11.4458333333,0.78656752218,223333.333333,4138.25758124,1861795.83333,37010.3377716
0:1,true,64,2,server,2,8.04583333333,0.640287712228,222737.5,3927.86351778,1861870.83333,36077.7989539
0:1,true,64,2,server,3,9.0125,0.95679338757,216308.333333,3405.86694933,1861933.33333,36783.7945117
0:1,true,64,2,server,total,9.50138888889,0.5006617749,220793.055556,3756.9852117,1861866.66667,36413.9413015
0:1,false,64,2,mw,1,7.69166666667,0.597168659489,2746158.33333,86306.1957414,2862979.16667,88880.7153305
0:1,false,64,2,mw,2,5.45416666667,0.489678990116,3179587.5,52987.4927192,3307766.66667,54040.2360907
0:1,false,64,2,mw,total,6.57291666667,0.429931265563,2962872.91667,53526.4846557,3085372.91667,54989.1259149
0:1,false,64,2,client,1,10.8,0.482025730123,1852170.83333,33192.9954547,138583.333333,2486.81473751
0:1,false,64,2,client,2,7.85416666667,0.433621293481,1975687.5,34716.7904331,147520.833333,2605.76216947
0:1,false,64,2,client,3,7.68333333333,0.446584160149,1684362.5,30378.0304873,125787.5,2270.85970449
0:1,false,64,2,client,total,8.77916666667,0.289145050337,1837406.94444,28160.7520414,137297.222222,2084.9122006
