Repetition,Middleware,Average Throughput,Std Throughput,Average Latency,Std Latency,Average Gets,Average Multigets,Average Sets,Average Invalids,Average Hits,Average Queue Length,Std Queue Length,Average Queue Time,Std Queue Time,Average Server Time,Std Server Time
1,1,1917.6,111.550136313,2.14346225,0.110605880323,0.0,1917.6,0.0,0.0,11505.6,0.2625,0.688857979888,0.1036815,0.0243232803053,1.943259125,0.0868419136422
1,2,2272.5,64.2193629856,1.85798975,0.0547356690215,0.0,2272.5,0.0,0.0,13635.0,0.0875,0.284349134656,0.0481425,0.00618567546939,1.72924925,0.0511130040868
1,Total,4190.1,136.230593787,2.000726,0.0649738821111,0.0,4190.1,0.0,0.0,25140.6,0.175,0.382364396415,0.075912,0.0128764112069,1.8362541875,0.053257445949
2,1,1917.5875,97.3817613145,2.149165625,0.0880095614605,0.0,1917.5875,0.0,0.0,11505.45,0.075,0.265053135346,0.105553875,0.0236717019808,1.945878375,0.0650582375026
2,2,2032.8125,77.0924307552,2.066339375,0.077542337041,0.0,2032.8125,0.0,0.0,12196.875,0.125,0.332805489244,0.058062875,0.0101875926267,1.9155525,0.070704204761
2,Total,3950.4,123.848069439,2.1077525,0.0575132558138,0.0,3950.4,0.0,0.0,23702.325,0.1,0.216414978775,0.081808375,0.0131351212398,1.9307154375,0.0475161003706
3,1,1923.1625,117.192953924,2.13687975,0.121560975063,0.0,1923.1625,0.0,0.0,11538.975,0.25,0.539573202176,0.103368125,0.0266961324224,1.943569875,0.0981197842151
3,2,2184.7375,93.1183735218,1.932423625,0.084113395767,0.0,2184.7375,0.0,0.0,13108.425,0.0875,0.325838742442,0.056696125,0.00881639920381,1.791754625,0.0732675953541
3,Total,4107.9,154.380886861,2.0346516875,0.0762960267349,0.0,4107.9,0.0,0.0,24647.4,0.16875,0.307539747354,0.080032125,0.0137693782614,1.86766225,0.0642113827792
Total,Total,4082.8,80.0329327433,2.0477100625,0.0375438308296,0.0,4082.8,0.0,0.0,24496.775,0.147916666667,0.175891840407,0.0792508333333,0.00787381618812,1.878210625,0.0311645612856
