Repetition,Middleware,Average Throughput,Std Throughput,Average Latency,Std Latency,Average Gets,Average Multigets,Average Sets,Average Invalids,Average Hits,Average Queue Length,Std Queue Length,Average Queue Time,Std Queue Time,Average Server Time,Std Server Time
1,1,1403.875,62.8134418816,2.980132125,0.123087455671,0.0,1403.875,0.0,0.0,12634.875,0.1,0.301892763256,0.126486625,0.027515085066,2.6985945,0.0972691750501
1,2,1778.3375,47.2260772605,2.477520375,0.073946117082,0.0,1778.3375,0.0,0.0,16005.0375,0.15,0.47997890249,0.054562125,0.0104044452153,2.3134495,0.0651170841862
1,Total,3182.2125,87.4947656662,2.72882625,0.079759032144,0.0,3182.2125,0.0,0.0,28639.9125,0.125,0.281271975232,0.090524375,0.0152051462469,2.506022,0.0663711982372
2,1,1376.3125,74.0561869739,3.0260335,0.156360520342,0.0,1376.3125,0.0,0.0,12386.8125,0.1375,0.496666100303,0.136865875,0.03988561781,2.7261535,0.117155995174
2,2,1771.3,53.6501560157,2.478766375,0.0687570069386,0.0,1771.3,0.0,0.0,15941.7,0.075,0.30914336521,0.054833375,0.00962851355482,2.314113375,0.0653945252991
2,Total,3147.6125,105.860607386,2.7523999375,0.0988868382965,0.0,3147.6125,0.0,0.0,28328.5125,0.10625,0.283443450927,0.095849625,0.0215457800763,2.5201334375,0.0795351603388
3,1,1384.05,76.7807828014,3.00813825,0.161447115131,0.0,1384.05,0.0,0.0,12456.45,0.1625,0.488960405842,0.134343375,0.0375576597033,2.71741975,0.12658502998
3,2,1770.375,66.9665276297,2.49402225,0.0919684666236,0.0,1770.375,0.0,0.0,15933.375,0.0375,0.191182198207,0.054394375,0.0113580996409,2.332572875,0.0810146001249
3,Total,3154.425,120.626715243,2.75108025,0.109705922543,0.0,3154.425,0.0,0.0,28389.825,0.1,0.268611054751,0.094368875,0.0204860403995,2.5249963125,0.0897713160144
Total,Total,3161.41666667,60.579816815,2.74410214583,0.055555118311,0.0,3161.41666667,0.0,0.0,28452.75,0.110416666667,0.16968521779,0.0935809583333,0.0105834234781,2.51705058333,0.0463913989374
