Repetition,Middleware,Average Throughput,Std Throughput,Average Latency,Std Latency,Average Gets,Average Multigets,Average Sets,Average Invalids,Average Hits,Average Queue Length,Std Queue Length,Average Queue Time,Std Queue Time,Average Server Time,Std Server Time
1,1,5823.325,280.20122855,9.641530875,0.602186657504,0.0,0.0,5823.325,0.0,5823.325,25.9,9.76508894098,4.25891475,0.3544557693,5.334088125,0.27276474789
1,2,7018.9,372.779488217,8.398154875,0.44737707532,0.0,0.0,7018.9,0.0,7018.9,28.05,8.35282109548,3.923587875,0.232085539718,4.444697875,0.238569165555
1,Total,12842.225,465.780927889,9.019842875,0.415182094977,0.0,0.0,12842.225,0.0,12842.225,26.975,6.38228362765,4.0912513125,0.254331528794,4.889393,0.180199194753
2,1,5958.325,239.479962693,9.3226315,0.522961165741,0.0,0.0,5958.325,0.0,5958.325,22.5875,10.4162649712,4.062495375,0.32090788491,5.21290425,0.213554971732
2,2,6957.7125,291.757363807,8.441774375,0.430427569878,0.0,0.0,6957.7125,0.0,6957.7125,26.4125,10.5562912431,3.91538075,0.253273259133,4.494710125,0.193323775336
2,Total,12916.0375,385.837456554,8.8822029375,0.380952258634,0.0,0.0,12916.0375,0.0,12916.0375,24.5,7.52800677975,3.9889380625,0.243741584495,4.8538071875,0.146515106241
3,1,5998.05,239.634473757,9.265751,0.519204050599,0.0,0.0,5998.05,0.0,5998.05,25.3625,9.12257423974,4.03988425,0.319012215903,5.181481875,0.212126536581
3,2,6857.225,241.304837671,8.479895,0.364923780153,0.0,0.0,6857.225,0.0,6857.225,27.4375,10.0086592256,3.920976375,0.225079481732,4.528253375,0.165912173174
3,Total,12855.275,361.33241384,8.872823,0.379889129748,0.0,0.0,12855.275,0.0,12855.275,26.4,6.72535350348,3.9804303125,0.244321139729,4.854867625,0.145157522664
Total,Total,12871.1791667,218.703049251,8.92495627083,0.219816465013,0.0,0.0,12871.1791667,0.0,12871.1791667,25.9583333333,3.81060958758,4.0202065625,0.14100407182,4.86602260417,0.0860195677359
