Repetition,Client,Subclient,Average Throughput,Std Throughput,Average Latency,Std Latency
1,1,1,2269.59259259,266.934532132,13.76,1.6231397044
1,1,2,2406.37037037,289.032716333,12.9856790123,1.56592858895
1,1,Total,4673.8375,546.253695495,13.37425,1.56461506974
1,2,1,2280.09876543,270.291398538,13.7016049383,1.62859944184
1,2,2,2498.01234568,304.425791197,12.5139506173,1.52391000309
1,2,Total,4777.3625,562.753768214,13.10525,1.54412727799
1,3,1,2200.74074074,259.246059651,14.1911111111,1.67220886853
1,3,2,2281.61728395,279.15428386,13.7016049383,1.67485779754
1,3,Total,4480.6875,526.62468546,13.949,1.63752213242
1,Total,Total,13931.8875,1626.61356691,13.4761666667,1.57341039824
2,1,1,2291.2345679,272.435188238,13.6333333333,1.62160799825
2,1,2,1993.18518519,935.125340678,210.803623188,1633.31572265
2,1,Total,4295.075,988.199638711,113.701323529,822.584372654
2,2,1,2336.39506173,278.179738614,13.3712345679,1.59272909083
2,2,2,2051.22222222,966.649859049,26.3869565217,111.280228217
2,2,Total,4406.45,1008.11497109,20.0258823529,56.0075387845
2,3,1,2233.43209877,265.769351989,13.9864197531,1.66226901301
2,3,2,1897.98765432,892.994827726,33.7473913043,154.462325472
2,3,Total,4143.8375,935.301906768,24.0617647059,77.7555077128
2,Total,Total,12845.3625,2927.08784836,52.5963235294,318.695701033
3,1,1,2259.45679012,263.283974511,13.8180246914,1.61215649035
3,1,2,2227.04938272,284.660099998,14.0544444444,1.8266123015
3,1,Total,4485.7,529.43883356,13.935375,1.65159680597
3,2,1,2306.39506173,269.161739434,13.5387654321,1.58195320942
3,2,2,2308.2962963,295.350319301,13.5637037037,1.75618438984
3,2,Total,4613.825,544.33389267,13.550125,1.60535180398
3,3,1,2201.49382716,256.028227128,14.1817283951,1.65335703201
3,3,2,2107.32098765,272.082148769,14.8571604938,1.93716108943
3,3,Total,4308.75,507.045038321,14.515625,1.72098208918
3,Total,Total,13408.275,1575.99861832,14.000375,1.65179248787
